PosX,PosY,PosZ,QuaX,QuaY,QuaZ,QuaW
1715252891386,0.9212422,0.1000003,0.761021,-0.007220179,0.5157629,0.8560296,0.03391438
1715252891410,0.9213004,0.1000003,0.7610908,-0.006962374,0.5157726,0.856029,0.03383389
1715252891426,0.9213476,0.1000001,0.7611587,-0.006716623,0.5157805,0.8560292,0.03374986
1715252891441,0.9213763,0.1000001,0.7612041,-0.006551905,0.5157837,0.8560309,0.03369211
1715252891455,0.9213978,0.0999999,0.7612472,-0.006397928,0.5157866,0.8560331,0.03362976
1715252891473,0.9214168,0.1000001,0.7612861,-0.006257236,0.5157862,0.8560365,0.03357521
1715252891490,0.9214308,0.1000003,0.7613319,-0.006097002,0.515786,0.8560406,0.03350305
1715252891504,0.9214422,0.1000001,0.7613727,-0.005951952,0.5157804,0.8560475,0.03344115
1715252891520,0.9214449,0.1000003,0.7614036,-0.005846579,0.5157748,0.8560536,0.03339184
1715252891538,0.9214477,0.1000001,0.7614365,-0.005730647,0.5157621,0.8560638,0.03334294
1715252891554,0.9214392,0.1000001,0.7614635,-0.005644798,0.5157467,0.8560749,0.0333047
1715252891570,0.9214308,0.1000003,0.7614861,-0.005568353,0.5157248,0.8560898,0.03327658
1715252891585,0.921414,0.1000004,0.7614979,-0.005538116,0.5157052,0.8561023,0.03326456
1715252891601,0.9213961,0.0999999,0.7615074,-0.005505946,0.5156867,0.8561146,0.03324514
1715252891618,0.9213733,0.1000001,0.7615049,-0.005520791,0.5156732,0.8561227,0.03324264
1715252891634,0.9213485,0.1000003,0.7614977,-0.005535952,0.5156643,0.856128,0.03323672
1715252891651,0.9213241,0.1000003,0.7614797,-0.005592308,0.515662,0.8561286,0.03325013
1715252891666,0.9213008,0.1000001,0.7614611,-0.005645667,0.5156641,0.8561265,0.03326039
1715252891684,0.9212782,0.1000001,0.7614369,-0.005723869,0.5156709,0.8561211,0.03328209
1715252891700,0.9212518,0.1000001,0.7614061,-0.005818708,0.5156832,0.8561122,0.03330644
1715252891720,0.9212264,0.1000003,0.761372,-0.005930836,0.5156986,0.8561007,0.03334116
1715252891739,0.9211959,0.1000001,0.7613298,-0.006065023,0.5157208,0.8560849,0.03338024
1715252891757,0.9211677,0.1000001,0.7612835,-0.006219869,0.5157449,0.8560671,0.03343299
1715252891772,0.921142,0.1000001,0.7612371,-0.006369645,0.5157713,0.8560482,0.0334841
1715252891788,0.921127,0.1000004,0.7611918,-0.006522666,0.5157983,0.8560282,0.03354831
1715252891804,0.9211121,0.1000004,0.7611448,-0.006676654,0.5158274,0.856007,0.0336118
1715252891818,0.9211118,0.1000003,0.7610914,-0.006855393,0.5158615,0.8559816,0.03370544
1715252891834,0.9211117,0.1000001,0.7610424,-0.007016348,0.5158934,0.8559578,0.03378814
1715252891850,0.9211219,0.0999999,0.7609828,-0.007210258,0.5159312,0.8559285,0.03390486
1715252891864,0.9211333,0.1000004,0.7609266,-0.007391137,0.5159671,0.855901,0.03401542
1715252891881,0.9211496,0.0999999,0.7608704,-0.007570441,0.5159989,0.8558758,0.03413045
1715252891897,0.9211699,0.1000001,0.7608095,-0.007763124,0.5160317,0.8558494,0.03425568
1715252891915,0.9211945,0.0999999,0.760747,-0.007961016,0.5160567,0.8558272,0.03438216
1715252891936,0.9212214,0.1000003,0.7606851,-0.008155677,0.5160757,0.8558092,0.03450486
1715252891954,0.9212635,0.0999999,0.7606144,-0.00837342,0.5160827,0.8557972,0.03463969
1715252891970,0.921307,0.1000001,0.7605526,-0.00856021,0.5160812,0.8557915,0.03475393
1715252891986,0.9213599,0.0999999,0.7605031,-0.008702523,0.5160685,0.8557941,0.03484716
1715252892002,0.921409,0.1000001,0.7604592,-0.008828713,0.5160538,0.8557983,0.03492929
1715252892017,0.921479,0.1000001,0.7604144,-0.00895087,0.5160279,0.8558092,0.03501793
1715252892032,0.9215449,0.1000001,0.760375,-0.009057282,0.5160001,0.8558214,0.03509553
1715252892047,0.9216172,0.1000004,0.7603393,-0.00914993,0.5159593,0.8558424,0.03516538
1715252892062,0.9216943,0.0999999,0.7603046,-0.009238089,0.5159095,0.8558685,0.03523282
1715252892077,0.9217714,0.1000004,0.7602743,-0.009311663,0.5158513,0.8559008,0.0352867
1715252892095,0.9218505,0.0999999,0.7602475,-0.009375162,0.5157826,0.8559396,0.03533122
1715252892110,0.921937,0.1000004,0.7602226,-0.009428781,0.5157037,0.8559849,0.0353684
1715252892127,0.922017,0.1000004,0.7602048,-0.00946891,0.5156347,0.8560248,0.03539458
1715252892146,0.9221025,0.1000001,0.760192,-0.00949978,0.5155727,0.856061,0.03541993
1715252892159,0.9221996,0.1000004,0.7601858,-0.009514315,0.5155183,0.8560923,0.03544414
1715252892174,0.9222771,0.1000003,0.7601866,-0.00951121,0.5154846,0.856112,0.03546193
1715252892191,0.9223616,0.1000003,0.7601941,-0.009486483,0.5154592,0.8561268,0.03547915
1715252892205,0.922457,0.1000004,0.7602076,-0.009451573,0.5154367,0.8561402,0.03549583
1715252892221,0.9225495,0.1000001,0.7602287,-0.009388912,0.5154258,0.8561471,0.03550108
1715252892237,0.9226484,0.1000004,0.7602537,-0.009325001,0.5154172,0.8561528,0.03550743
1715252892253,0.9227663,0.1000003,0.7602936,-0.009208397,0.5154172,0.8561552,0.03548158
1715252892268,0.922868,0.1,0.7603288,-0.009113058,0.5154189,0.8561561,0.03546176
1715252892284,0.9229817,0.0999999,0.7603749,-0.008982263,0.5154268,0.8561546,0.03541499
1715252892299,0.9230908,0.0999999,0.7604192,-0.008859821,0.5154364,0.8561519,0.03537083
1715252892317,0.9232032,0.0999999,0.7604675,-0.008724509,0.5154518,0.8561465,0.03531662
1715252892334,0.9233266,0.1000003,0.7605196,-0.008577751,0.5154712,0.8561385,0.03525734
1715252892356,0.923439,0.1000003,0.7605699,-0.008426905,0.5154971,0.8561267,0.03519899
1715252892375,0.9235697,0.1000001,0.7606255,-0.008250696,0.515531,0.8561108,0.03513314
1715252892390,0.9236767,0.1000001,0.7606715,-0.008088327,0.5155668,0.8560932,0.03507653
1715252892404,0.9237658,0.1000001,0.7607053,-0.00795529,0.5155972,0.8560778,0.03503236
1715252892420,0.9238424,0.1000004,0.7607327,-0.007830719,0.5156266,0.8560627,0.03499443
1715252892435,0.9239269,0.1000001,0.760757,-0.007698519,0.5156586,0.8560463,0.03495621
1715252892451,0.9239989,0.1000003,0.7607744,-0.00757146,0.5156927,0.8560282,0.03492426
1715252892466,0.9240745,0.1,0.7607853,-0.007443447,0.5157278,0.8560095,0.03489497
1715252892482,0.9241385,0.1000006,0.760788,-0.007321832,0.515774,0.8559834,0.03487268
1715252892494,0.9242041,0.1000004,0.7607823,-0.007198547,0.515825,0.8559544,0.0348542
1715252892509,0.9242488,0.1000001,0.7607701,-0.007109239,0.5158784,0.8559238,0.03483893
1715252892525,0.9242938,0.09999979,0.7607493,-0.007017038,0.5159453,0.8558849,0.03482275
1715252892543,0.9243422,0.0999999,0.7607121,-0.006916546,0.5160258,0.8558379,0.03480436
1715252892559,0.9243786,0.1000001,0.760662,-0.006832638,0.5161053,0.8557916,0.03478372
1715252892575,0.9244081,0.1000001,0.7605994,-0.006759108,0.51617,0.8557537,0.03476964
1715252892591,0.9244239,0.1000003,0.7605405,-0.006699892,0.5162077,0.8557314,0.03476258
1715252892606,0.9244371,0.1000001,0.7604826,-0.006638619,0.5162274,0.8557203,0.03476527
1715252892623,0.9244404,0.0999999,0.760436,-0.006578267,0.5162047,0.8557338,0.03477853
1715252892639,0.9244424,0.1000003,0.7603859,-0.006509885,0.5161718,0.8557535,0.0347954
1715252892654,0.924439,0.1000003,0.7603404,-0.006420079,0.5160949,0.8557994,0.03482359
1715252892671,0.9244353,0.1000004,0.7603015,-0.006344992,0.5160264,0.85584,0.03484805
1715252892686,0.9244249,0.1000001,0.7602616,-0.006251427,0.5159235,0.8559017,0.03487786
1715252892701,0.9244152,0.0999999,0.7602223,-0.006165415,0.5158238,0.8559613,0.03490628
1715252892717,0.9243993,0.0999999,0.7601851,-0.006083309,0.5157201,0.8560234,0.03492769
1715252892736,0.9243817,0.1000006,0.7601421,-0.005998462,0.5156062,0.8560919,0.03495019
1715252892753,0.9243553,0.1000004,0.7600901,-0.005914053,0.5154845,0.8561652,0.03496033
1715252892772,0.9243293,0.1000003,0.7600379,-0.005844377,0.5153748,0.8562313,0.03496606
1715252892789,0.9242916,0.0999999,0.7599716,-0.005783347,0.5152852,0.8562863,0.03495334
1715252892803,0.9242577,0.09999967,0.7599075,-0.005732595,0.5152184,0.8563273,0.03494167
1715252892821,0.9242201,0.1000004,0.7598435,-0.005698541,0.5151903,0.8563452,0.03492423
1715252892836,0.9241753,0.1000004,0.7597601,-0.005659128,0.5151632,0.8563625,0.03490428
1715252892852,0.9241285,0.1000001,0.7596838,-0.005640694,0.5151613,0.8563647,0.03488231
1715252892870,0.9240767,0.1000001,0.7595996,-0.00561971,0.5151629,0.8563647,0.03485886
1715252892886,0.9240164,0.1000005,0.7595134,-0.005607583,0.5151789,0.8563564,0.03482515
1715252892901,0.9239591,0.1000001,0.7594334,-0.005596024,0.5151985,0.8563462,0.0347938
1715252892917,0.9238964,0.1,0.7593554,-0.005585219,0.515222,0.856334,0.03474941
1715252892936,0.9238331,0.1000003,0.7592791,-0.005573898,0.5152489,0.8563198,0.03470455
1715252892953,0.9237561,0.1000001,0.7591942,-0.005563986,0.5152748,0.8563067,0.03464098
1715252892973,0.9236847,0.1000001,0.7591196,-0.00555445,0.5153013,0.8562932,0.03458155
1715252892990,0.9235981,0.1000001,0.7590355,-0.00554329,0.5153006,0.8562966,0.03451099
1715252893005,0.9235289,0.1,0.7589722,-0.005533425,0.5152968,0.8563012,0.03445644
1715252893020,0.9234657,0.1000003,0.7589176,-0.005523729,0.5152708,0.8563187,0.03441289
1715252893036,0.9234023,0.1000004,0.7588671,-0.005513305,0.5152474,0.8563346,0.03436983
1715252893050,0.9233329,0.1000001,0.7588173,-0.005508012,0.515209,0.8563593,0.03432914
1715252893067,0.92327,0.1,0.7587766,-0.00550249,0.5151759,0.8563808,0.03429304
1715252893084,0.9231911,0.0999999,0.7587314,-0.005506877,0.5151585,0.8563928,0.03425222
1715252893113,0.923107,0.1000005,0.7586826,-0.005513536,0.5151481,0.8564004,0.03421042
1715252893127,0.9229585,0.1000004,0.7586001,-0.005526122,0.5152164,0.8563619,0.03414255
1715252893177,0.9228904,0.1000001,0.7585629,-0.005525332,0.5152689,0.8563318,0.03411275
1715252893198,0.9226327,0.1000003,0.7584295,-0.005481108,0.5155747,0.8561522,0.03400479
